leitores;escritores;num_simulacao;tempo_gasto;leitor_escritor;cenario
0;100;1;202;true;1
0;100;1;194;false;1
0;100;2;181;true;1
0;100;2;212;false;1
0;100;3;197;true;1
0;100;3;187;false;1
0;100;4;197;true;1
0;100;4;197;false;1
0;100;5;212;true;1
0;100;5;180;false;1
0;100;6;187;true;1
0;100;6;189;false;1
0;100;7;189;true;1
0;100;7;158;false;1
0;100;8;175;true;1
0;100;8;197;false;1
0;100;9;198;true;1
0;100;9;166;false;1
0;100;10;163;true;1
0;100;10;155;false;1
0;100;11;156;true;1
0;100;11;149;false;1
0;100;12;197;true;1
0;100;12;188;false;1
0;100;13;203;true;1
0;100;13;187;false;1
0;100;14;195;true;1
0;100;14;201;false;1
0;100;15;200;true;1
0;100;15;175;false;1
0;100;16;183;true;1
0;100;16;155;false;1
0;100;17;173;true;1
0;100;17;184;false;1
0;100;18;169;true;1
0;100;18;181;false;1
0;100;19;182;true;1
0;100;19;198;false;1
0;100;20;200;true;1
0;100;20;187;false;1
0;100;21;189;true;1
0;100;21;185;false;1
0;100;22;180;true;1
0;100;22;155;false;1
0;100;23;158;true;1
0;100;23;163;false;1
0;100;24;151;true;1
0;100;24;179;false;1
0;100;25;214;true;1
0;100;25;194;false;1
0;100;26;200;true;1
0;100;26;183;false;1
0;100;27;200;true;1
0;100;27;189;false;1
0;100;28;169;true;1
0;100;28;199;false;1
0;100;29;194;true;1
0;100;29;184;false;1
0;100;30;193;true;1
0;100;30;193;false;1
0;100;31;204;true;1
0;100;31;191;false;1
0;100;32;178;true;1
0;100;32;185;false;1
0;100;33;193;true;1
0;100;33;168;false;1
0;100;34;154;true;1
0;100;34;144;false;1
0;100;35;158;true;1
0;100;35;174;false;1
0;100;36;186;true;1
0;100;36;197;false;1
0;100;37;191;true;1
0;100;37;194;false;1
0;100;38;199;true;1
0;100;38;188;false;1
0;100;39;192;true;1
0;100;39;196;false;1
0;100;40;181;true;1
0;100;40;190;false;1
0;100;41;187;true;1
0;100;41;207;false;1
0;100;42;187;true;1
0;100;42;197;false;1
0;100;43;201;true;1
0;100;43;202;false;1
0;100;44;203;true;1
0;100;44;159;false;1
0;100;45;165;true;1
0;100;45;156;false;1
0;100;46;138;true;1
0;100;46;182;false;1
0;100;47;205;true;1
0;100;47;196;false;1
0;100;48;195;true;1
0;100;48;182;false;1
0;100;49;195;true;1
0;100;49;180;false;1
0;100;50;179;true;1
0;100;50;167;false;1
1;99;1;197;true;2
1;99;1;174;false;2
1;99;2;162;true;2
1;99;2;201;false;2
1;99;3;150;true;2
1;99;3;351;false;2
1;99;4;306;true;2
1;99;4;215;false;2
1;99;5;221;true;2
1;99;5;167;false;2
1;99;6;184;true;2
1;99;6;198;false;2
1;99;7;150;true;2
1;99;7;141;false;2
1;99;8;180;true;2
1;99;8;173;false;2
1;99;9;163;true;2
1;99;9;171;false;2
1;99;10;178;true;2
1;99;10;206;false;2
1;99;11;184;true;2
1;99;11;186;false;2
1;99;12;194;true;2
1;99;12;195;false;2
1;99;13;190;true;2
1;99;13;172;false;2
1;99;14;194;true;2
1;99;14;180;false;2
1;99;15;187;true;2
1;99;15;202;false;2
1;99;16;176;true;2
1;99;16;174;false;2
1;99;17;149;true;2
1;99;17;157;false;2
1;99;18;170;true;2
1;99;18;184;false;2
1;99;19;173;true;2
1;99;19;166;false;2
1;99;20;177;true;2
1;99;20;199;false;2
1;99;21;202;true;2
1;99;21;200;false;2
1;99;22;178;true;2
1;99;22;158;false;2
1;99;23;157;true;2
1;99;23;142;false;2
1;99;24;154;true;2
1;99;24;176;false;2
1;99;25;181;true;2
1;99;25;201;false;2
1;99;26;198;true;2
1;99;26;203;false;2
1;99;27;180;true;2
1;99;27;190;false;2
1;99;28;193;true;2
1;99;28;193;false;2
1;99;29;170;true;2
1;99;29;198;false;2
1;99;30;185;true;2
1;99;30;188;false;2
1;99;31;189;true;2
1;99;31;190;false;2
1;99;32;182;true;2
1;99;32;195;false;2
1;99;33;187;true;2
1;99;33;171;false;2
1;99;34;153;true;2
1;99;34;154;false;2
1;99;35;158;true;2
1;99;35;177;false;2
1;99;36;196;true;2
1;99;36;192;false;2
1;99;37;198;true;2
1;99;37;196;false;2
1;99;38;181;true;2
1;99;38;196;false;2
1;99;39;194;true;2
1;99;39;188;false;2
1;99;40;177;true;2
1;99;40;186;false;2
1;99;41;197;true;2
1;99;41;189;false;2
1;99;42;195;true;2
1;99;42;191;false;2
1;99;43;185;true;2
1;99;43;191;false;2
1;99;44;177;true;2
1;99;44;158;false;2
1;99;45;160;true;2
1;99;45;157;false;2
1;99;46;158;true;2
1;99;46;191;false;2
1;99;47;182;true;2
1;99;47;191;false;2
1;99;48;180;true;2
1;99;48;197;false;2
1;99;49;188;true;2
1;99;49;187;false;2
1;99;50;201;true;2
1;99;50;204;false;2
2;98;1;172;true;3
2;98;1;191;false;3
2;98;2;190;true;3
2;98;2;202;false;3
2;98;3;189;true;3
2;98;3;172;false;3
2;98;4;170;true;3
2;98;4;186;false;3
2;98;5;186;true;3
2;98;5;153;false;3
2;98;6;161;true;3
2;98;6;141;false;3
2;98;7;152;true;3
2;98;7;150;false;3
2;98;8;185;true;3
2;98;8;191;false;3
2;98;9;187;true;3
2;98;9;191;false;3
2;98;10;199;true;3
2;98;10;182;false;3
2;98;11;186;true;3
2;98;11;199;false;3
2;98;12;178;true;3
2;98;12;175;false;3
2;98;13;192;true;3
2;98;13;193;false;3
2;98;14;197;true;3
2;98;14;188;false;3
2;98;15;188;true;3
2;98;15;198;false;3
2;98;16;189;true;3
2;98;16;160;false;3
2;98;17;180;true;3
2;98;17;171;false;3
2;98;18;157;true;3
2;98;18;172;false;3
2;98;19;191;true;3
2;98;19;189;false;3
2;98;20;162;true;3
2;98;20;194;false;3
2;98;21;186;true;3
2;98;21;162;false;3
2;98;22;196;true;3
2;98;22;180;false;3
2;98;23;178;true;3
2;98;23;196;false;3
2;98;24;177;true;3
2;98;24;196;false;3
2;98;25;178;true;3
2;98;25;182;false;3
2;98;26;193;true;3
2;98;26;198;false;3
2;98;27;182;true;3
2;98;27;198;false;3
2;98;28;173;true;3
2;98;28;161;false;3
2;98;29;147;true;3
2;98;29;145;false;3
2;98;30;162;true;3
2;98;30;190;false;3
2;98;31;186;true;3
2;98;31;184;false;3
2;98;32;197;true;3
2;98;32;186;false;3
2;98;33;189;true;3
2;98;33;188;false;3
2;98;34;191;true;3
2;98;34;186;false;3
2;98;35;178;true;3
2;98;35;195;false;3
2;98;36;185;true;3
2;98;36;198;false;3
2;98;37;180;true;3
2;98;37;198;false;3
2;98;38;171;true;3
2;98;38;193;false;3
2;98;39;170;true;3
2;98;39;151;false;3
2;98;40;139;true;3
2;98;40;141;false;3
2;98;41;155;true;3
2;98;41;168;false;3
2;98;42;193;true;3
2;98;42;199;false;3
2;98;43;187;true;3
2;98;43;187;false;3
2;98;44;192;true;3
2;98;44;194;false;3
2;98;45;178;true;3
2;98;45;202;false;3
2;98;46;185;true;3
2;98;46;207;false;3
2;98;47;213;true;3
2;98;47;188;false;3
2;98;48;190;true;3
2;98;48;189;false;3
2;98;49;196;true;3
2;98;49;203;false;3
2;98;50;154;true;3
2;98;50;163;false;3
3;97;1;173;true;4
3;97;1;177;false;4
3;97;2;160;true;4
3;97;2;149;false;4
3;97;3;203;true;4
3;97;3;222;false;4
3;97;4;245;true;4
3;97;4;196;false;4
3;97;5;225;true;4
3;97;5;177;false;4
3;97;6;174;true;4
3;97;6;178;false;4
3;97;7;209;true;4
3;97;7;185;false;4
3;97;8;170;true;4
3;97;8;180;false;4
3;97;9;168;true;4
3;97;9;180;false;4
3;97;10;183;true;4
3;97;10;183;false;4
3;97;11;186;true;4
3;97;11;200;false;4
3;97;12;171;true;4
3;97;12;186;false;4
3;97;13;193;true;4
3;97;13;162;false;4
3;97;14;166;true;4
3;97;14;175;false;4
3;97;15;189;true;4
3;97;15;172;false;4
3;97;16;197;true;4
3;97;16;170;false;4
3;97;17;221;true;4
3;97;17;383;false;4
3;97;18;186;true;4
3;97;18;214;false;4
3;97;19;171;true;4
3;97;19;175;false;4
3;97;20;163;true;4
3;97;20;207;false;4
3;97;21;197;true;4
3;97;21;172;false;4
3;97;22;167;true;4
3;97;22;165;false;4
3;97;23;173;true;4
3;97;23;177;false;4
3;97;24;176;true;4
3;97;24;188;false;4
3;97;25;165;true;4
3;97;25;183;false;4
3;97;26;180;true;4
3;97;26;194;false;4
3;97;27;200;true;4
3;97;27;194;false;4
3;97;28;179;true;4
3;97;28;181;false;4
3;97;29;188;true;4
3;97;29;182;false;4
3;97;30;189;true;4
3;97;30;194;false;4
3;97;31;188;true;4
3;97;31;183;false;4
3;97;32;177;true;4
3;97;32;199;false;4
3;97;33;165;true;4
3;97;33;137;false;4
3;97;34;154;true;4
3;97;34;166;false;4
3;97;35;142;true;4
3;97;35;178;false;4
3;97;36;194;true;4
3;97;36;189;false;4
3;97;37;195;true;4
3;97;37;199;false;4
3;97;38;185;true;4
3;97;38;194;false;4
3;97;39;180;true;4
3;97;39;183;false;4
3;97;40;187;true;4
3;97;40;194;false;4
3;97;41;188;true;4
3;97;41;187;false;4
3;97;42;186;true;4
3;97;42;187;false;4
3;97;43;181;true;4
3;97;43;192;false;4
3;97;44;184;true;4
3;97;44;171;false;4
3;97;45;175;true;4
3;97;45;172;false;4
3;97;46;146;true;4
3;97;46;182;false;4
3;97;47;186;true;4
3;97;47;187;false;4
3;97;48;185;true;4
3;97;48;189;false;4
3;97;49;200;true;4
3;97;49;196;false;4
3;97;50;195;true;4
3;97;50;200;false;4
